Time,Start Time,End Time,Weather
2017-09-04,2017-09-04 00:00:00,2017-09-04 09:45:00,03High humidty
2017-09-05,2017-09-05 01:15:00,2017-09-05 08:15:00,03High humidty
2017-09-06,2017-09-06 04:15:00,2017-09-06 20:15:00,03High humidty
2017-09-07,2017-09-07 01:45:00,2017-09-07 02:45:00,03High humidty
2017-09-13,2017-09-13 22:15:00,2017-09-13 23:45:00,03High humidty
2017-09-14,2017-09-14 00:00:00,2017-09-14 00:15:00,03High humidty
2017-09-23,2017-09-23 07:00:00,2017-09-23 09:15:00,03High humidty
2017-10-04,2017-10-04 02:15:00,2017-10-04 06:00:00,03High humidty
2017-10-05,2017-10-05 19:45:00,2017-10-05 23:45:00,03High humidty
2017-10-06,2017-10-06 00:00:00,2017-10-06 23:45:00,03High humidty
2017-10-07,2017-10-07 00:00:00,2017-10-07 21:00:00,03High humidty
2017-10-08,2017-10-08 01:15:00,2017-10-08 04:30:00,03High humidty
2017-10-09,2017-10-09 04:30:00,2017-10-09 21:00:00,03High humidty
2017-10-10,2017-10-10 22:15:00,2017-10-10 23:45:00,03High humidty
2017-10-11,2017-10-11 00:00:00,2017-10-11 04:15:00,03High humidty
2017-10-12,2017-10-12 00:45:00,2017-10-12 07:45:00,03High humidty
2017-10-13,2017-10-13 01:00:00,2017-10-13 15:45:00,03High humidty
2017-10-14,2017-10-14 01:15:00,2017-10-14 21:45:00,03High humidty
2017-10-15,2017-10-15 00:15:00,2017-10-15 23:45:00,03High humidty
2017-10-16,2017-10-16 00:00:00,2017-10-16 23:45:00,03High humidty
2017-10-17,2017-10-17 00:00:00,2017-10-17 20:45:00,03High humidty
2017-10-18,2017-10-18 01:00:00,2017-10-18 11:00:00,03High humidty
2017-11-07,2017-11-07 05:00:00,2017-11-07 05:15:00,03High humidty
2017-11-12,2017-11-12 19:15:00,2017-11-12 21:00:00,03High humidty
2017-11-13,2017-11-13 05:00:00,2017-11-13 23:45:00,03High humidty
2017-11-14,2017-11-14 00:00:00,2017-11-14 08:15:00,03High humidty
2018-01-06,2018-01-06 16:45:00,2018-01-06 23:45:00,03High humidty
2018-01-07,2018-01-07 00:00:00,2018-01-07 23:45:00,03High humidty
2018-01-08,2018-01-08 00:00:00,2018-01-08 13:00:00,03High humidty
2018-01-09,2018-01-09 10:45:00,2018-01-09 11:45:00,03High humidty
2018-01-16,2018-01-16 07:30:00,2018-01-16 08:00:00,03High humidty
2018-01-22,2018-01-22 07:15:00,2018-01-22 08:15:00,03High humidty
2018-02-20,2018-02-20 07:45:00,2018-02-20 08:00:00,03High humidty
2018-02-21,2018-02-21 13:45:00,2018-02-21 14:45:00,03High humidty
2018-03-01,2018-03-01 07:45:00,2018-03-01 08:00:00,03High humidty
2018-03-05,2018-03-05 05:00:00,2018-03-05 05:00:00,03High humidty
2018-03-14,2018-03-14 08:00:00,2018-03-14 08:30:00,03High humidty
2018-04-10,2018-04-10 04:00:00,2018-04-10 05:30:00,03High humidty
2018-04-16,2018-04-16 02:00:00,2018-04-16 23:45:00,03High humidty
2018-04-17,2018-04-17 00:00:00,2018-04-17 05:15:00,03High humidty
2018-04-26,2018-04-26 01:45:00,2018-04-26 23:45:00,03High humidty
2018-04-27,2018-04-27 00:00:00,2018-04-27 01:15:00,03High humidty
