Time,Start Time,End Time,Weather
2016-10-27,2016-10-27 15:30:00,2016-10-27 15:30:00,02High temperature
2017-06-02,2017-06-02 11:00:00,2017-06-02 15:00:00,02High temperature
2017-06-03,2017-06-03 13:30:00,2017-06-03 16:00:00,02High temperature
2017-06-04,2017-06-04 10:30:00,2017-06-04 16:30:00,02High temperature
2017-06-05,2017-06-05 11:00:00,2017-06-05 16:45:00,02High temperature
2017-06-06,2017-06-06 10:00:00,2017-06-06 18:00:00,02High temperature
2017-06-07,2017-06-07 11:00:00,2017-06-07 17:00:00,02High temperature
2017-06-08,2017-06-08 09:00:00,2017-06-08 19:30:00,02High temperature
2017-06-10,2017-06-10 09:00:00,2017-06-10 16:30:00,02High temperature
2017-06-11,2017-06-11 12:00:00,2017-06-11 17:00:00,02High temperature
2017-06-12,2017-06-12 10:30:00,2017-06-12 10:30:00,02High temperature
2017-06-15,2017-06-15 10:00:00,2017-06-15 15:00:00,02High temperature
2017-06-16,2017-06-16 13:00:00,2017-06-16 17:00:00,02High temperature
2017-06-22,2017-06-22 13:30:00,2017-06-22 16:30:00,02High temperature
2017-06-23,2017-06-23 14:00:00,2017-06-23 18:30:00,02High temperature
2017-06-24,2017-06-24 10:00:00,2017-06-24 10:00:00,02High temperature
2017-06-25,2017-06-25 16:30:00,2017-06-25 16:30:00,02High temperature
2017-06-26,2017-06-26 12:30:00,2017-06-26 17:00:00,02High temperature
2017-06-27,2017-06-27 11:00:00,2017-06-27 16:30:00,02High temperature
2017-06-28,2017-06-28 09:30:00,2017-06-28 16:00:00,02High temperature
2017-06-29,2017-06-29 13:00:00,2017-06-29 16:45:00,02High temperature
2017-06-30,2017-06-30 14:00:00,2017-06-30 16:30:00,02High temperature
2017-07-01,2017-07-01 11:00:00,2017-07-01 14:30:00,02High temperature
2017-07-02,2017-07-02 18:00:00,2017-07-02 18:00:00,02High temperature
2017-07-10,2017-07-10 13:00:00,2017-07-10 14:30:00,02High temperature
2017-07-11,2017-07-11 12:00:00,2017-07-11 14:45:00,02High temperature
