Time,Start Time,End Time,Weather
2018-12-12,2018-12-12 00:00:00,2018-12-12 23:45:00,01Low temperature
2018-12-13,2018-12-13 00:00:00,2018-12-13 11:45:00,01Low temperature
2018-12-14,2018-12-14 02:00:00,2018-12-14 07:30:00,01Low temperature
2018-12-29,2018-12-29 07:00:00,2018-12-29 23:30:00,01Low temperature
2018-12-30,2018-12-30 00:15:00,2018-12-30 23:45:00,01Low temperature
2018-12-31,2018-12-31 00:00:00,2018-12-31 23:45:00,01Low temperature
2019-01-01,2019-01-01 00:00:00,2019-01-01 23:45:00,01Low temperature
2019-01-02,2019-01-02 00:00:00,2019-01-02 23:45:00,01Low temperature
2019-01-03,2019-01-03 00:00:00,2019-01-03 23:00:00,01Low temperature
2019-01-04,2019-01-04 00:30:00,2019-01-04 00:30:00,01Low temperature
2019-01-17,2019-01-17 06:00:00,2019-01-17 08:00:00,01Low temperature
2019-01-18,2019-01-18 06:30:00,2019-01-18 06:30:00,01Low temperature
2019-01-22,2019-01-22 06:00:00,2019-01-22 23:00:00,01Low temperature
2019-01-23,2019-01-23 00:00:00,2019-01-23 23:30:00,01Low temperature
2019-02-23,2019-02-23 22:00:00,2019-02-23 22:00:00,01Low temperature
2019-02-24,2019-02-24 04:00:00,2019-02-24 09:30:00,01Low temperature
2019-12-07,2019-12-07 04:00:00,2019-12-07 07:45:00,01Low temperature
2019-12-09,2019-12-09 04:30:00,2019-12-09 05:45:00,01Low temperature
2019-12-10,2019-12-10 06:00:00,2019-12-10 07:30:00,01Low temperature
2020-01-12,2020-01-12 08:00:00,2020-01-12 08:00:00,01Low temperature
2020-01-26,2020-01-26 07:15:00,2020-01-26 23:45:00,01Low temperature
2020-01-27,2020-01-27 00:00:00,2020-01-27 23:45:00,01Low temperature
2020-01-28,2020-01-28 00:00:00,2020-01-28 12:00:00,01Low temperature
2020-01-29,2020-01-29 01:45:00,2020-01-29 23:45:00,01Low temperature
2020-01-30,2020-01-30 00:00:00,2020-01-30 23:45:00,01Low temperature
2020-01-31,2020-01-31 00:00:00,2020-01-31 07:30:00,01Low temperature
2020-02-16,2020-02-16 03:30:00,2020-02-16 23:45:00,01Low temperature
2020-02-17,2020-02-17 00:00:00,2020-02-17 12:15:00,01Low temperature
2020-02-18,2020-02-18 03:30:00,2020-02-18 19:30:00,01Low temperature
2020-12-04,2020-12-04 04:15:00,2020-12-04 06:00:00,01Low temperature
2020-12-05,2020-12-05 04:30:00,2020-12-05 08:15:00,01Low temperature
2020-12-15,2020-12-15 02:30:00,2020-12-15 23:15:00,01Low temperature
2020-12-16,2020-12-16 02:00:00,2020-12-16 23:00:00,01Low temperature
2020-12-17,2020-12-17 00:15:00,2020-12-17 23:00:00,01Low temperature
2020-12-18,2020-12-18 02:15:00,2020-12-18 23:45:00,01Low temperature
2020-12-19,2020-12-19 00:00:00,2020-12-19 23:00:00,01Low temperature
2020-12-20,2020-12-20 01:00:00,2020-12-20 11:30:00,01Low temperature
2020-12-21,2020-12-21 04:30:00,2020-12-21 09:30:00,01Low temperature
2020-12-22,2020-12-22 05:00:00,2020-12-22 05:00:00,01Low temperature
2020-12-30,2020-12-30 07:00:00,2020-12-30 23:45:00,01Low temperature
2020-12-31,2020-12-31 00:00:00,2020-12-31 22:30:00,01Low temperature
2021-01-01,2021-01-01 00:00:00,2021-01-01 23:45:00,01Low temperature
2021-01-02,2021-01-02 00:00:00,2021-01-02 19:00:00,01Low temperature
2021-01-03,2021-01-03 04:30:00,2021-01-03 08:00:00,01Low temperature
2021-01-07,2021-01-07 19:30:00,2021-01-07 23:45:00,01Low temperature
2021-01-08,2021-01-08 00:00:00,2021-01-08 23:45:00,01Low temperature
2021-01-09,2021-01-09 00:00:00,2021-01-09 23:30:00,01Low temperature
2021-01-10,2021-01-10 00:15:00,2021-01-10 22:15:00,01Low temperature
2021-01-11,2021-01-11 00:45:00,2021-01-11 23:45:00,01Low temperature
2021-01-12,2021-01-12 00:00:00,2021-01-12 23:45:00,01Low temperature
2021-01-13,2021-01-13 00:00:00,2021-01-13 23:45:00,01Low temperature
2021-01-14,2021-01-14 00:00:00,2021-01-14 23:45:00,01Low temperature
2021-01-15,2021-01-15 04:00:00,2021-01-15 08:00:00,01Low temperature
2021-01-16,2021-01-16 00:30:00,2021-01-16 08:00:00,01Low temperature
2021-01-17,2021-01-17 23:30:00,2021-01-17 23:30:00,01Low temperature
2021-01-18,2021-01-18 01:00:00,2021-01-18 23:45:00,01Low temperature
2021-01-19,2021-01-19 00:15:00,2021-01-19 07:30:00,01Low temperature
2021-12-26,2021-12-26 15:30:00,2021-12-26 23:45:00,01Low temperature
2021-12-27,2021-12-27 00:00:00,2021-12-27 23:45:00,01Low temperature
2021-12-28,2021-12-28 00:00:00,2021-12-28 12:00:00,01Low temperature
2021-12-29,2021-12-29 23:00:00,2021-12-29 23:00:00,01Low temperature
2021-12-30,2021-12-30 00:00:00,2021-12-30 00:00:00,01Low temperature
2022-01-02,2022-01-02 04:00:00,2022-01-02 06:15:00,01Low temperature
2022-01-11,2022-01-11 05:00:00,2022-01-11 05:00:00,01Low temperature
2022-01-12,2022-01-12 04:30:00,2022-01-12 07:30:00,01Low temperature
2022-01-19,2022-01-19 07:30:00,2022-01-19 07:30:00,01Low temperature
2022-01-20,2022-01-20 01:30:00,2022-01-20 07:00:00,01Low temperature
2022-01-30,2022-01-30 02:00:00,2022-01-30 11:00:00,01Low temperature
2022-01-31,2022-01-31 00:30:00,2022-01-31 23:45:00,01Low temperature
2022-02-01,2022-02-01 00:00:00,2022-02-01 19:30:00,01Low temperature
2022-02-02,2022-02-02 00:30:00,2022-02-02 23:45:00,01Low temperature
2022-02-03,2022-02-03 00:00:00,2022-02-03 23:45:00,01Low temperature
2022-02-04,2022-02-04 00:45:00,2022-02-04 22:30:00,01Low temperature
2022-02-05,2022-02-05 00:30:00,2022-02-05 10:00:00,01Low temperature
2022-02-06,2022-02-06 02:30:00,2022-02-06 07:30:00,01Low temperature
2022-02-08,2022-02-08 13:00:00,2022-02-08 13:00:00,01Low temperature
2022-02-09,2022-02-09 04:00:00,2022-02-09 23:30:00,01Low temperature
2022-02-10,2022-02-10 00:30:00,2022-02-10 11:00:00,01Low temperature
2022-02-14,2022-02-14 01:15:00,2022-02-14 08:30:00,01Low temperature
2022-02-19,2022-02-19 09:30:00,2022-02-19 23:45:00,01Low temperature
2022-02-20,2022-02-20 00:00:00,2022-02-20 23:45:00,01Low temperature
2022-02-21,2022-02-21 00:00:00,2022-02-21 23:45:00,01Low temperature
2022-02-22,2022-02-22 00:00:00,2022-02-22 23:45:00,01Low temperature
2022-02-23,2022-02-23 00:00:00,2022-02-23 23:45:00,01Low temperature
2022-02-24,2022-02-24 00:45:00,2022-02-24 23:45:00,01Low temperature
2022-02-25,2022-02-25 00:00:00,2022-02-25 23:45:00,01Low temperature
2022-02-26,2022-02-26 01:30:00,2022-02-26 06:15:00,01Low temperature
2022-02-27,2022-02-27 04:30:00,2022-02-27 07:30:00,01Low temperature
2022-04-02,2022-04-02 18:30:00,2022-04-02 18:30:00,01Low temperature
