,Heat Load,NaturalGasBoiler,Total Heat Output
2023-01-02 05:15:00,554.1077704765015,554.1077704765015,554.1077704765015
2023-01-02 05:30:00,552.2229491498869,552.2229491498869,552.2229491498869
2023-01-02 05:45:00,555.992041811483,555.992041811483,555.992041811483
2023-01-02 06:00:00,550.3381278232723,550.3381278232723,550.3381278232723
2023-01-02 06:15:00,542.7993925084471,542.7993925084471,542.7993925084471
2023-01-02 06:30:00,569.1857910977851,569.1857910977851,569.1857910977851
2023-01-02 06:45:00,601.2261036753338,601.2261036753338,601.2261036753338
2023-01-02 07:00:00,635.151237579497,635.151237579497,635.151237579497
2023-01-02 07:15:00,667.1915501570458,667.1915501570458,667.1915501570458
2023-01-02 07:30:00,712.4250620292634,712.4250620292634,712.4250620292634
2023-01-02 07:45:00,770.8517731961502,770.8517731961502,770.8517731961502
2023-01-02 08:00:00,833.0475770246329,833.0475770246329,833.0475770246329
2023-01-02 08:15:00,895.2433808531158,895.2433808531158,895.2433808531158
2023-01-02 08:30:00,959.3240060082129,959.3240060082129,959.3240060082129
2023-01-02 08:45:00,1025.288902498292,1025.288902498292,1025.288902498292
2023-01-02 09:00:00,1095.0234416416001,1095.0234416416001,1095.0234416416001
2023-01-02 09:15:00,1123.2941115659196,1123.2941115659196,1123.2941115659196
2023-01-02 09:30:00,1142.1412248487993,1142.1412248487993,1142.1412248487993
2023-01-02 09:45:00,1160.988338131679,1160.988338131679,1160.988338131679
2023-01-02 10:00:00,1187.3747367210171,1187.3747367210171,1187.3747367210171
2023-01-02 10:15:00,1200.567936015686,1200.567936015686,1200.567936015686
2023-01-02 10:30:00,1204.337028677282,1204.337028677282,1204.337028677282
2023-01-02 10:45:00,1193.0286507092276,1193.0286507092276,1193.0286507092276
2023-01-02 11:00:00,1177.9511800795772,1177.9511800795772,1177.9511800795772
2023-01-02 11:15:00,1160.988888123312,1160.988888123312,1160.988888123312
2023-01-02 11:30:00,1149.6805101552577,1149.6805101552577,1149.6805101552577
2023-01-02 11:45:00,1136.4878608522217,1136.4878608522217,1136.4878608522217
2023-01-02 12:00:00,1132.7182181989924,1132.7182181989924,1132.7182181989924
2023-01-02 12:15:00,1130.833946864011,1130.833946864011,1130.833946864011
2023-01-02 12:30:00,1130.833946864011,1130.833946864011,1130.833946864011
2023-01-02 12:45:00,1121.4103902225713,1121.4103902225713,1121.4103902225713
2023-01-02 13:00:00,1106.3323696012876,1106.3323696012876,1106.3323696012876
2023-01-02 13:15:00,1091.254898971637,1091.254898971637,1091.254898971637
2023-01-02 13:30:00,1083.716163656812,1083.716163656812,1083.716163656812
2023-01-02 13:45:00,1083.716163656812,1083.716163656812,1083.716163656812
2023-01-02 14:00:00,1078.061699676968,1078.061699676968,1078.061699676968
2023-01-02 14:15:00,1076.1774283419868,1076.1774283419868,1076.1774283419868
2023-01-02 14:30:00,1079.9465210035826,1079.9465210035826,1079.9465210035826
2023-01-02 14:45:00,1076.1774283419866,1076.1774283419866,1076.1774283419866
2023-01-02 15:00:00,1079.9465210035826,1079.9465210035826,1079.9465210035826
2023-01-02 15:15:00,1083.716163656812,1083.716163656812,1083.716163656812
2023-01-02 15:30:00,1085.6004349917932,1085.6004349917932,1085.6004349917932
2023-01-02 15:45:00,1091.254898971637,1091.254898971637,1091.254898971637
2023-01-02 16:00:00,1104.448098266306,1104.448098266306,1104.448098266306
2023-01-02 16:15:00,1136.4884108438548,1136.4884108438548,1136.4884108438548
2023-01-02 16:30:00,1170.413544748018,1170.413544748018,1170.413544748018
2023-01-02 16:45:00,1236.37899122973,1236.37899122973,1236.37899122973
2023-01-02 17:00:00,1296.6899737315982,1296.6899737315982,1296.6899737315982
2023-01-02 17:15:00,1358.8857775600811,1358.8857775600811,1358.8857775600811
2023-01-02 17:30:00,1430.505138030004,1430.505138030004,1430.505138030004
2023-01-02 17:45:00,1494.585763185101,1494.585763185101,1494.585763185101
2023-01-02 18:00:00,1554.8967456869693,1554.8967456869693,1554.8967456869693
2023-01-02 18:15:00,1613.3234568538562,1613.3234568538562,1613.3234568538562
2023-01-02 18:30:00,1677.4035320173205,1677.4035320173205,1677.4035320173205
2023-01-02 18:45:00,1730.1757792043636,1730.1757792043636,1730.1757792043636
2023-01-02 19:00:00,1764.1009131085268,1764.1009131085268,1764.1009131085268
2023-01-02 19:15:00,1796.1412256860756,1796.1412256860756,1796.1412256860756
2023-01-02 19:30:00,1788.60249037125,1788.60249037125,1788.60249037125
2023-01-02 19:45:00,1779.17893372981,1779.17893372981,1779.17893372981
2023-01-02 20:00:00,1754.67790645872,1754.67790645872,1754.67790645872
2023-01-02 20:15:00,1724.522415207786,1724.522415207786,1724.522415207786
2023-01-02 20:30:00,1698.136566610081,1698.136566610081,1698.136566610081
2023-01-02 20:45:00,1683.0590959804301,1683.0590959804301,1683.0590959804301
2023-01-02 21:00:00,1743.3700784822986,1743.3700784822986,1743.3700784822986
2023-01-02 21:15:00,1816.8742602788357,1816.8742602788357,1816.8742602788357
2023-01-02 21:30:00,2005.3464930908988,2005.3464930908988,2005.3464930908988
2023-01-02 21:45:00,2367.212938093741,2367.212938093741,2367.212938093741
2023-01-02 22:00:00,2727.194561769969,2727.194561769969,2727.194561769969
2023-01-02 22:15:00,3111.67776270892,3111.67776270892,3111.67776270892
2023-01-02 22:30:00,3511.2389842691546,3511.2389842691546,3511.2389842691546
2023-01-02 22:45:00,3579.2583970061614,3579.2583970061614,3579.2583970061614
2023-01-02 23:00:00,3649.879702107132,3649.879702107132,3649.879702107132
2023-01-02 23:15:00,3718.616185881489,3718.616185881489,3718.616185881489
2023-01-02 23:30:00,3778.645974810133,3778.645974810133,3778.645974810133
2023-01-02 23:45:00,3767.507291762392,3767.507291762392,3767.507291762392
2023-01-03 00:00:00,9823.375586865042,9823.375586865042,9823.375586865042
2023-01-03 00:15:00,9463.579816482994,9463.579816482994,9463.579816482994
2023-01-03 00:30:00,8643.548030473414,8643.548030473414,8643.548030473414
2023-01-03 00:45:00,7806.553402515934,7806.553402515935,7806.553402515935
2023-01-03 01:00:00,6949.958468902935,6949.958468902935,6949.958468902935
